groupKey,totalItems,index0Count,index1Count,index2Count,index3Count,dominantIndex,dominantPct,result,notes
gradeLevel=6|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.6.F4|sourceType=database,17,17,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.6.F4|sourceType=generated,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.6.F5|sourceType=database,17,0,0,17,0,2,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.6.F5|sourceType=generated,1,0,0,1,0,2,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.6.F6|sourceType=database,5,0,5,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.6.F7|sourceType=database,17,0,17,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.6.F7|sourceType=generated,1,0,1,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.6.F8|sourceType=database,17,0,17,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.6.F8|sourceType=generated,1,0,1,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.6.F9|sourceType=database,5,0,5,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.2.6.A|sourceType=database,55,55,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.2.6.A|sourceType=generated,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.2.6.B|sourceType=database,122,122,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.2.6.B|sourceType=generated,8,8,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.2.6.C|sourceType=database,24,24,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.2.6.C|sourceType=generated,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.2.6.D|sourceType=database,48,48,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.2.6.D|sourceType=generated,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.3.6.A|sourceType=database,30,30,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.3.6.A|sourceType=generated,2,2,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.3.6.B|sourceType=database,42,42,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.3.6.B|sourceType=generated,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.3.6.C|sourceType=database,86,86,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.3.6.C|sourceType=generated,5,5,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.3.6.D|sourceType=database,16,16,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.3.6.D|sourceType=generated,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.3.6.E|sourceType=database,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.3.6.F / CC.1.2.6.F|sourceType=database,40,40,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.3.6.F / CC.1.2.6.F|sourceType=generated,2,2,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.3.6.G|sourceType=database,26,26,0,0,0,0,1,FAIL,PSSA_ANSWER_POSITION_BIAS: index 0 appears 100% of the time.
gradeLevel=6|subject=ELA|itemType=MCQ|standardCode=CC.1.3.6.G|sourceType=generated,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.7.F1|sourceType=database,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.7.F1|sourceType=generated,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.7.F4|sourceType=database,1,0,1,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.7.F4|sourceType=generated,1,0,1,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.7.F5|sourceType=database,1,0,0,1,0,2,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.7.F5|sourceType=generated,1,0,0,1,0,2,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.7.F7|sourceType=database,1,0,1,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.7.F7|sourceType=generated,1,0,1,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.7.F8|sourceType=database,1,0,1,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.7.F8|sourceType=generated,1,0,1,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.2.7.A|sourceType=database,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.2.7.A|sourceType=generated,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.2.7.B|sourceType=database,7,7,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.2.7.B|sourceType=generated,7,7,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.2.7.C|sourceType=database,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.2.7.C|sourceType=generated,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.2.7.D|sourceType=database,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.2.7.D|sourceType=generated,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.3.7.A|sourceType=database,2,2,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.3.7.A|sourceType=generated,2,2,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.3.7.B|sourceType=database,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.3.7.B|sourceType=generated,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.3.7.C|sourceType=database,6,6,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.3.7.C|sourceType=generated,6,6,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.3.7.D|sourceType=database,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.3.7.D|sourceType=generated,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.3.7.F / CC.1.2.7.F|sourceType=database,2,2,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.3.7.F / CC.1.2.7.F|sourceType=generated,2,2,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.3.7.G|sourceType=database,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=7|subject=ELA|itemType=MCQ|standardCode=CC.1.3.7.G|sourceType=generated,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.8.F1|sourceType=generated,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.8.F4|sourceType=generated,1,0,1,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.8.F5|sourceType=generated,1,0,0,1,0,2,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.8.F7|sourceType=generated,1,0,1,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=CONVENTIONS|standardCode=CC.1.4.8.F8|sourceType=generated,1,0,1,0,0,1,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=MCQ|standardCode=CC.1.2.8.A|sourceType=generated,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=MCQ|standardCode=CC.1.2.8.B|sourceType=generated,7,7,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=MCQ|standardCode=CC.1.2.8.C|sourceType=generated,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=MCQ|standardCode=CC.1.2.8.D|sourceType=generated,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=MCQ|standardCode=CC.1.3.8.A|sourceType=generated,2,2,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=MCQ|standardCode=CC.1.3.8.B|sourceType=generated,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=MCQ|standardCode=CC.1.3.8.C|sourceType=generated,6,6,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=MCQ|standardCode=CC.1.3.8.D|sourceType=generated,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=MCQ|standardCode=CC.1.3.8.E|sourceType=generated,1,1,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=MCQ|standardCode=CC.1.3.8.F / CC.1.2.8.F|sourceType=generated,3,3,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
gradeLevel=8|subject=ELA|itemType=MCQ|standardCode=CC.1.3.8.G|sourceType=generated,2,2,0,0,0,0,1,SKIP,N<20; rolled up into parent grade/itemType group.
