itemId,gradeLevel,passageId,passageTitle,eligibleContent,ecDescription,ecSkillFamily,questionType,stem,targetWordOrPhrase,observedSkillPattern,expectedSkillPattern,skillMatchResult,skillMatchConfidence,mismatchReason,evidenceSpan,stemSkillSignals,notes
pssa_item_g3_reading_1,3,pssa_psg_g3_creek_watchers,The Night the Creek Glowed,E03.A-K.1.1.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",literature_elements,MCQ,Why did Maya's class compare creek spots instead of guessing about the glow?,,inference,character_setting_plot_conflict_or_literary_message,PASS,0.78,,Those clues helped the class ask a better question: why was the glow strongest in one place?,inference|detail_event|craft_structure,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_2,3,pssa_psg_g3_the_map_in_the_station,A Map Under the Bench,E03.A-K.1.1.2,"Recount poems, dramas, or stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.",literature_elements,MCQ,Which sentence best states what the old station map helps people understand?,,evidence_use,character_setting_plot_conflict_or_literary_message,PASS,0.78,,"Still, the river, the hill road, and the market square helped visitors compare past and present.",evidence|key_ideas,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_3,3,pssa_psg_g3_a_cooler_lunch_line,The Bell That Saved Lunch,E03.A-K.1.1.3,"Describe characters in a story (e.g., their traits, motivations, feelings) and explain how their actions contribute to the sequence of events.",literature_elements,MCQ,Which evidence shows Room 3 studied the lunch line before changing it?,,evidence_use,character_setting_plot_conflict_or_literary_message,PASS,0.78,,"They also sketched where trays, fruit, milk, spoons, and napkins sat on the counter.",inference|evidence,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_4,3,pssa_psg_g3_the_mural_plan,Blue Paint for Saturday,E03.A-C.2.1.1,"Explain the point of view from which a story is narrated, including the difference between first- and third-person narrations.",craft_structure,MCQ,How did the narrator respond after blue drops landed on the fish tails?,,craft_structure,purpose_pov_structure_text_feature_or_word_choice_effect,PASS,0.78,,I bent close and painted tiny waves around each tail.,detail_event|craft_structure,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_5,3,pssa_psg_g3_the_cart_that_would_not_turn,The Cart That Would Not Turn,E03.A-C.3.1.1,"Compare and contrast the themes, settings, and plots of stories written by the same author about the same or similar characters (e.g., in books from a series).",craft_structure,MCQ,What is the main lesson in the cart passage?,,key_ideas_details,purpose_pov_structure_text_feature_or_word_choice_effect,PASS,0.78,,"They unloaded the bin, checked each wheel, and found the small thing that caused the big trouble.",key_ideas,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_6,3,pssa_psg_g3_creek_watchers,The Night the Creek Glowed,E03.A-V.4.1.1,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies (context clues, affixes, root words).",vocabulary,MCQ,"In the creek passage, what does faint mean when the glow became a faint stripe?",faint,vocabulary_context,word_or_phrase_meaning_in_context,PASS,0.93,,The glow had faded to a faint stripe.,vocabulary,"Vocabulary stem, target, evidence, and choices align."
pssa_item_g3_reading_7,3,pssa_psg_g3_the_map_in_the_station,A Map Under the Bench,E03.A-V.4.1.2,Demonstrate understanding of word relationships and nuances in word meanings (literal vs. nonliteral meaning; shades of meaning among related words).,vocabulary,MCQ,What does creases mean as it is used in the station passage?,creases,vocabulary_context,word_or_phrase_meaning_in_context,PASS,0.93,,Old paper can tear along its creases.,vocabulary,"Vocabulary stem, target, evidence, and choices align."
pssa_item_g3_reading_8,3,pssa_psg_g3_a_cooler_lunch_line,The Bell That Saved Lunch,E03.B-K.1.1.1,"Answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",informational_elements,MCQ,What problem did Room 3 try to solve in the cafeteria?,,plain_recall,informational_detail_process_reason_connection_or_claim_evidence,PASS,0.78,,The line stopped whenever someone had to step backward for a napkin.,detail_event,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_9,3,pssa_psg_g3_the_mural_plan,Blue Paint for Saturday,E03.B-K.1.1.2,Determine the main idea of a text; recount the key details and explain how they support the main idea.,inference_evidence,MCQ,What is a central message of the mural story?,,literature_elements,inference_conclusion_or_evidence_support,PASS,0.78,,"""Turn mistakes into ripples,"" he said.",key_ideas|literary,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_10,3,pssa_psg_g3_the_cart_that_would_not_turn,The Cart That Would Not Turn,E03.B-K.1.1.3,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",informational_elements,MCQ,What should happen before turning the green cart upside down?,,plain_recall,informational_detail_process_reason_connection_or_claim_evidence,PASS,0.78,,"First, you would empty the heavy paper boxes from the bottom shelf.",plain_recall,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_11,3,pssa_psg_g3_creek_watchers,The Night the Creek Glowed,E03.B-C.2.1.1,Explain the point of view from which a text is written.,craft_structure,MCQ,Why did the creek notice include Maya's map?,,inference,purpose_pov_structure_text_feature_or_word_choice_effect,PASS,0.78,,Maya added her map to the notice so readers could see why the sunny bank mattered most.,inference|detail_event|informational,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_12,3,pssa_psg_g3_the_map_in_the_station,A Map Under the Bench,E03.B-C.2.1.2,"Use text features (e.g., headings, graphics, charts) and search tools (e.g., key words, sidebars, hyperlinks) to efficiently locate information relevant to a given topic.",craft_structure,MCQ,How did Mr. Ortiz protect the old map as he opened it?,,plain_recall,purpose_pov_structure_text_feature_or_word_choice_effect,PASS,0.78,,"He slid a flat card under one corner, opened the first fold, and placed small cloth weights along the edges.",detail_event,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_13,3,pssa_psg_g3_a_cooler_lunch_line,The Bell That Saved Lunch,E03.B-C.3.1.1,"Describe the logical connection between particular sentences and paragraphs to support specific points in a text (e.g., comparison, cause/effect, first/second/third in a sequence).",inference_evidence,MCQ,Why did Room 3 decide to check the lunch setup again next week?,,inference,inference_conclusion_or_evidence_support,PASS,0.78,,"Room 3 wrote the result on a chart and decided to check again next week, because one good day was useful but not enough proof.",inference|detail_event,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_14,3,pssa_psg_g3_the_mural_plan,Blue Paint for Saturday,E03.B-C.3.1.2,Compare and contrast the most important points and key details presented in two texts on the same topic.,informational_elements,MCQ,What do the flowers on the bus roof show about the mural?,,inference,informational_detail_process_reason_connection_or_claim_evidence,PASS,0.78,,Vega told him people had suggested things they loved about our block.,inference,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_15,3,pssa_psg_g3_the_cart_that_would_not_turn,The Cart That Would Not Turn,E03.B-C.3.1.3,"Use information gained from illustrations, maps, photographs, and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur).",informational_elements,MCQ,Why was the yarn around the axle a problem?,,inference,informational_detail_process_reason_connection_or_claim_evidence,PASS,0.78,,"The wheel could roll, but it could not swing smoothly around corners.",inference,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_16,3,pssa_psg_g3_creek_watchers,The Night the Creek Glowed,E03.B-V.4.1.1,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies (context clues, affixes, academic/domain words, root words).",vocabulary,MCQ,What does faded mean as it is used in the creek passage?,faded,vocabulary_context,word_or_phrase_meaning_in_context,PASS,0.93,,The glow had faded to a faint stripe.,vocabulary,"Vocabulary stem, target, evidence, and choices align."
pssa_item_g3_reading_17,3,pssa_psg_g3_the_map_in_the_station,A Map Under the Bench,E03.B-V.4.1.2,Demonstrate understanding of word relationships and nuances in word meanings (literal vs. nonliteral meaning; shades of meaning among related words).,vocabulary,MCQ,What does landmarks mean as it is used in the station passage?,landmarks,vocabulary_context,word_or_phrase_meaning_in_context,PASS,0.93,,"People stopped near the bench longer than before, not because the paper looked perfect, but because it showed how the town had changed while some landmarks stayed in place.",vocabulary,"Vocabulary stem, target, evidence, and choices align."
pssa_item_g3_reading_18,3,pssa_psg_g3_a_cooler_lunch_line,The Bell That Saved Lunch,E03.A-K.1.1.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",literature_elements,MCQ,How did the cafeteria manager's Thursday change help the line?,,plain_recall,character_setting_plot_conflict_or_literary_message,PASS,0.78,,Spoons and napkins went into two red baskets at the end.,detail_event,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_19,3,pssa_psg_g3_the_mural_plan,Blue Paint for Saturday,E03.A-K.1.1.2,"Recount poems, dramas, or stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.",literature_elements,MCQ,Which detail best shows the story's message about mistakes?,,inference,character_setting_plot_conflict_or_literary_message,PASS,0.78,,I bent close and painted tiny waves around each tail.,inference|key_ideas|literary,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_20,3,pssa_psg_g3_the_cart_that_would_not_turn,The Cart That Would Not Turn,E03.A-K.1.1.3,"Describe characters in a story (e.g., their traits, motivations, feelings) and explain how their actions contribute to the sequence of events.",literature_elements,MCQ,Which sentence shows the class used the cart steps again later?,,evidence_use,character_setting_plot_conflict_or_literary_message,PASS,0.78,,"The next week, the same steps helped with a rolling book bin.",inference|evidence|informational,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_21,3,pssa_psg_g3_creek_watchers,The Night the Creek Glowed,E03.A-C.2.1.1,"Explain the point of view from which a story is narrated, including the difference between first- and third-person narrations.",craft_structure,MCQ,Which event caused the class to ask a better creek question?,,craft_structure,purpose_pov_structure_text_feature_or_word_choice_effect,PASS,0.78,,"Downstream from the storm pipe, bits of grass and soil floated in a wide fan.",detail_event|craft_structure,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_22,3,pssa_psg_g3_the_map_in_the_station,A Map Under the Bench,E03.A-C.3.1.1,"Compare and contrast the themes, settings, and plots of stories written by the same author about the same or similar characters (e.g., in books from a series).",craft_structure,MCQ,What can be inferred when Nia's grandmother remembers the trolley ride?,,inference,purpose_pov_structure_text_feature_or_word_choice_effect,PASS,0.78,,"The old map had not spoken, of course, but it helped one family tell a true town story that had almost been folded away.",inference,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_23,3,pssa_psg_g3_a_cooler_lunch_line,The Bell That Saved Lunch,E03.A-V.4.1.1,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies (context clues, affixes, root words).",vocabulary,MCQ,What does tucked mean as it is used in the lunch passage?,tucked,vocabulary_context,word_or_phrase_meaning_in_context,PASS,0.93,,"Second, spoons and napkins were tucked behind the soup pot.",vocabulary,"Vocabulary stem, target, evidence, and choices align."
pssa_item_g3_reading_24,3,pssa_psg_g3_the_mural_plan,Blue Paint for Saturday,E03.A-V.4.1.2,Demonstrate understanding of word relationships and nuances in word meanings (literal vs. nonliteral meaning; shades of meaning among related words).,vocabulary,MCQ,What does traced mean as it is used in the mural passage?,traced,vocabulary_context,word_or_phrase_meaning_in_context,PASS,0.93,,Two kids traced the bus route in the air.,vocabulary,"Vocabulary stem, target, evidence, and choices align."
pssa_item_g3_reading_25,3,pssa_psg_g3_the_cart_that_would_not_turn,The Cart That Would Not Turn,E03.B-K.1.1.1,"Answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",informational_elements,MCQ,How does the reminder card help prevent another cart problem?,,plain_recall,informational_detail_process_reason_connection_or_claim_evidence,PASS,0.78,,The class taped a card to the top shelf: Check wheels before loading paper.,plain_recall,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_26,3,pssa_psg_g3_creek_watchers,The Night the Creek Glowed,E03.B-K.1.1.2,Determine the main idea of a text; recount the key details and explain how they support the main idea.,inference_evidence,MCQ,How did the class use weather information to explain Pine Creek's glow?,,informational_elements,inference_conclusion_or_evidence_support,PASS,0.78,,Two warm days had followed a heavy rain.,detail_event|informational,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_27,3,pssa_psg_g3_the_map_in_the_station,A Map Under the Bench,E03.B-K.1.1.3,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",informational_elements,MCQ,Which event came just before the map was placed inside a clear sleeve?,,plain_recall,informational_detail_process_reason_connection_or_claim_evidence,PASS,0.78,,Ortiz put a new town map beside the old one.,detail_event,Observed stem/evidence pattern is compatible with EC skill family.
pssa_item_g3_reading_28,3,pssa_psg_g3_a_cooler_lunch_line,The Bell That Saved Lunch,E03.B-C.2.1.1,Explain the point of view from which a text is written.,craft_structure,MCQ,From whose point of view is the lunch passage mostly written?,,craft_structure,purpose_pov_structure_text_feature_or_word_choice_effect,PASS,0.78,,"By Tuesday, Room 3 knew the lunch line had a problem.",craft_structure,Observed stem/evidence pattern is compatible with EC skill family.
